task_key	support_ids	outline	status
checkpoint-13-1-instruction-book	c13s1-subsec-vector-at-every-point	A field assigns a velocity at every domain point regardless of whether a chosen particle visits it; a trajectory is a parameterized curve following those assignments.	supported
checkpoint-13-1-gradient-knows-the-hill	c13s1-subsec-velocity-force-gradient	At regular points gradient is perpendicular to level curves and points toward greatest increase; zero gradient is a stationary exception, and generic fields need not arise from a scalar potential.	supported
checkpoint-13-1-flow-line-meaning	c13s1-def-flow-line	Differentiate r and compare with the field evaluated at r(t); equality matches the local arrow, whereas a fixed evaluation would prescribe one constant vector.	supported
checkpoint-13-2-speed-factor-meaning	c13s2-def-line-integral-scalar-function	Speed converts parameter time to length; dropping it makes the result depend on arbitrary tracing speed.	supported
checkpoint-13-2-parameter-not-arc-length	c13s2-subsec-arc-length-element	Unit speed norm(rprime)=1 makes arc-length increment equal parameter increment (up to an origin choice).	supported
checkpoint-13-2-orientation-irrelevant	c13s2-thm-scalar-line-integral-reparametrization	Norm introduces abs(phi prime); reversal changes traversal order but not positive length weights.	supported
checkpoint-13-3-perpendicular-no-work	c13s3-subsec-force-dotted-displacement	Every dot product with the tangent displacement is0; total work0.	supported
checkpoint-13-3-direction-survives	c13s3-subsec-parametrization-orientation	Velocity reverses direction whereas speed stays unchanged; linear pairing records the reversal as a sign.	supported
checkpoint-13-3-swirl-vs-radial	c13s3-ex-swirling-field-positive-circulation,c13s3-ex-radial-field-zero-circulation	Swirl is tangent in the direction of travel, giving positive dot product; radial is perpendicular and gives0.	supported
checkpoint-13-4-form-as-machine	c13s4-subsec-work-written-pdx	The point fixes coefficients but the displacement supplies vector components to be measured; both are needed for the scalar evaluation.	supported
checkpoint-13-4-no-length-element	c13s4-subsec-why-1-form-integrates	A1-form pairs directly with directed displacement. Its pullback already includes rprime; adding another speed would double-count the parameter change.	supported
checkpoint-13-4-arrow-vs-rule	c13s4-subsec-vector-fields-and-1-forms,c13s4-ex-angular-unit-vector	Polar coordinate displacement has angular term r e_theta dtheta; the metric identifies vectors with work forms, so e_theta corresponds to r dtheta, not dtheta. Both descriptions are valid with the metric conversion, and the form itself integrates without a metric.	supported
checkpoint-13-5-potential-needs-domain	thm-c13s5-ftli,c13s4-ex-image-counted-twice	A global single-valued potential would have zero change on a closed loop; angle increases2pi, so only local angle branches are potentials.	supported
checkpoint-13-5-converse-meaning	thm-c13s5-exact-path-independent	The prompt supplies candidate phi(X)=integral_A^X omega; path independence makes that definition unambiguous. The later theorem proves its differentiability, so this is a conceptual discovery question rather than an instruction to assume a proof.	supported
checkpoint-13-5-closed-loop-zero	thm-c13s5-ftli	Endpoint difference phi(A)-phi(A)=0; a nonzero loop integral disproves a global potential.	supported
checkpoint-13-6-direction-of-the-arrow	c13s6-test-py-qx-plane	Necessary exact-implies-closed does not imply its converse; extra domain hypotheses are needed for the supplied sufficient theorem.	supported
checkpoint-13-6-what-the-hole-feels-like	c13s6-simply-connected-regions,c13s4-ex-image-counted-twice	A loop around a missing point cannot contract within the domain; angle-form example has zero local curl yet nonzero loop integral.	supported
checkpoint-13-6-why-gluing-fails	c13s6-local-versus-global-potentials	Following local angle branches around a full loop adds2pi, so they cannot agree as one single-valued continuous potential.	supported
checkpoint-13-7-local-test-misses-hole	c13s6-local-versus-global-potentials	Derivatives detect local compatibility; they do not encode whether a loop surrounds a missing point. The given angle form supplies the exact counterexample.	supported
checkpoint-13-7-shrinking-loop-keeps-circulation	c13s7-subsec-singularity-hidden-at-origin	Origin is excluded, so radial shrinking cannot finish there. Direct calculation gives tangential field1/R times length2piR=2pi for every positive R; no claim of unproved limit exchange is needed.	supported
checkpoint-13-7-half-plane-vs-punctured-plane	c13s6-local-versus-global-potentials	On x>0 arctan(y/x) is a single branch; on punctured plane continuation around origin changes angle by2pi, contradicting a global potential.	supported
c13s8-project	c13s3-def-work-integral,c13s4-def-pullback-1-form,c13s8-project-rectangle,c13s8-project-circle,c13s8-project-polygon	Rectangle sides give0,ab,ab,0; circle pullback R squared dt gives2pi R squared; polygon edge i gives xi*y(i+1)-x(i+1)*yi by cancellation of t terms. Sum gives boundary integral. Shoelace AREA identity is explicitly deferred to14.7, not assumed for the boundary calculation; retain that proof ceiling.	supported
