task_key	support_ids	outline	status
checkpoint-10-1-why-refining-converges	c10s1-subsec-area-as-limit-of-sums	Boundary error lies in the shrinking strip around finitely many smooth arcs; its area tends to zero. This asks for the supplied geometric explanation, not a proof for arbitrary boundaries.	supported
checkpoint-10-1-why-columns-give-exact-volume	c10s1-subsec-volume-under-a-surface	Bound the total discrepancy by base area times maximum cell height oscillation; continuous height on the closed bounded base makes that oscillation small. Uniformity is a proof-sketch ceiling also present in 10.2, not a claimed analysis proof.	supported_at_stated_informal_level
checkpoint-10-1-what-does-f-stand-for	c10s1-subsec-riemann-sums-over-rectangles	Interpret f as amount per area, so f times cell area is an amount; sum gives area, mass or charge according to units.	supported
checkpoint-10-2-sample-points-stop-mattering	c10s2-subsec-partitions-sample-points	Absolute difference of the sums is bounded by sum of cell oscillations times cell areas. The later supplied continuous-integrability theorem formalizes the geometric continuity explanation; no formal uniformity proof is demanded.	supported_at_stated_informal_level
checkpoint-10-2-what-breaks-integrability	c10s2-subsec-integrable-functions-informally	Persistent positive weighted oscillation prevents upper and lower sums meeting; a function taking 0 and 1 densely in every cell is a sufficient example, not a necessary description of every nonintegrable function.	supported
checkpoint-10-2-why-divide-by-area	c10s1-def-double-integral	A constant 7 gives 7A; divide by positive A to recover 7. A constant equivalent height h satisfies hA=integral.	supported
checkpoint-10-3-roof-two-ways	c10s3-subsec-roof-sliced-two-ways	Both group the same nonnegative small columns and both explicitly give 120; geometric explanation requires no general Fubini proof.	supported
checkpoint-10-3-inner-integral-meaning	c10s3-thm-fubini-rectangles	Each inner integral adds a signed slice; Fubini for continuous functions identifies both totals.	supported
checkpoint-10-3-when-order-fails	c10s3-subsec-why-hypotheses-matter	The origin singularity is unbounded, so continuous-on-rectangle Fubini does not apply; the displayed antiderivatives give opposite pi/4 values.	supported
checkpoint-10-4-inner-limits-functions	c10s4-def-type-i-region	For each fixed x the y endpoints track the lower and upper boundary curves; fixed endpoints would describe a rectangle rather than slanted edges.	supported
checkpoint-10-4-redraw-when-reversing	c10s4-subsec-reversing-the-order	For 0<=y<=x<=1, reversed slices have x in [0,1] and y in [0,x]; simply swapping constants and functions loses the region.	supported
