task_key	support_ids	outline	status
checkpoint-12-1-why-a-stretch-factor	c12s1-subsec-single-variable-substitution	Equal du steps under x=u squared give different dx; derivative2u measures oriented local length scaling.	supported
checkpoint-12-1-why-tiny-matters	c12s1-subsec-local-linearization	Differentiability gives remainder divided by increment norm tending to0; a fixed derivative approximates only small tiles. Earlier vector differential supports this beyond a picture.	supported
checkpoint-12-1-why-a-determinant	c12s1-subsec-why-determinants-appear	Nearly parallel nonzero edges have positive length product but arbitrarily small enclosed area; determinant includes angle and orientation.	supported
checkpoint-12-2-why-columns-are-images	c12s2-subsec-parallelograms-from-squares	Multiply A by each coordinate unit vector: it selects that column, the image edge direction.	supported
checkpoint-12-2-meaning-of-det-zero	c12s2-subsec-area-scaling-det	Dependent columns collapse area and make the map noninvertible; it cannot serve as reversible planar coordinates.	supported
checkpoint-12-2-why-keep-the-sign	c12s2-subsec-orientation-sign	Sign distinguishes preservation from reversal of ordered directions; magnitude alone measures unsigned area.	supported
checkpoint-12-3-varying-determinant	c12s1-def-jacobian-determinant-plane	For shear(u,v+u squared), DT=[[1,0],[2u,1]] has determinant1 everywhere though nonlinear. Variation is possible, not inevitable.	supported
checkpoint-12-3-right-locally-wrong-globally	c12s3-subsec-one-to-one-splitting	(u squared,v) maps both u signs to same interior image; integrating abs2u over[-1,1] counts twice.	supported
checkpoint-12-3-polar-r-meaning	c12s3-subsec-polar-revisited,c10s5-subsec-why-area-element	Derivative vectors are perpendicular with lengths1 and r, so determinant equals the same radial-thickness times angular-arc scale.	supported
checkpoint-12-4-why-determinant-is-volume	c12s4-subsec-volume-scaling-jacobian	Scalar triple product/determinant measures parallelepiped volume, including relative directions that lengths alone omit.	supported
checkpoint-12-4-vanishing-spherical-factor	c12s4-subsec-cylindrical-spherical-revisited	At rho0 all angles identify one point; at poles the azimuth direction collapses, so derivative loses a volume direction.	supported
checkpoint-12-4-read-region-not-integrand	c12s4-subsec-general-transformations-r3	Ellipsoid axes suggest rescaling to a ball; simplifying bounds can be decisive even when integrand1 needs no simplification.	supported
checkpoint-12-5-signed-area-meaning	c12s5-subsec-what-happens-to-dxdy	The negative value records orientation reversal under T; positive area discards ordered-direction information.	supported
checkpoint-12-5-why-repeats-vanish	c12s5-subsec-pulling-back-volume-elements	Determinant definition is alternating in rows; repeated covectors give zero. The six permutations of distinct coordinates survive with permutation signs, exactly the3x3 determinant expansion.	supported
checkpoint-12-5-absolute-value-vs-sign	c12s5-subsec-what-happens-to-dxdy	Unsigned size is nonnegative; absolute value removes whether parameter orientation agrees with target orientation.	supported
checkpoint-12-6-multiplicity	c12s6-not-one-to-one	Interior injectivity fails because theta and theta+2pi coincide; local Jacobian cannot distinguish repeated images.	supported
checkpoint-12-6-zero-jacobian-meaning	c12s6-zero-jacobian	Neither polar coordinates at the origin nor complex squaring there is a regular invertible chart. Polar boundary degeneracy does not overcount positive area; the full complex disk has interior double coverage. Zero determinant obstructs a differentiable inverse, not automatically integrability.	supported
checkpoint-12-6-orientation-flip	c12s6-oriented-integrals-remember-sign	Image of positive parameter boundary is clockwise; absJ would erase the sign needed to distinguish the two oriented integrals.	supported
c12s7-ex-cc-jacobian-plane	c12s1-def-jacobian-determinant-plane	Signed local area multiplier of derivative.	supported
c12s7-ex-cc-jacobian-space	c12s4-def-jacobian-determinant-space	Signed local volume multiplier of derivative.	supported
c12s7-ex-cc-absolute-value	c12s6-why-absolute-value	Unsigned size remains positive after orientation reversal.	supported
c12s7-ex-cc-wedge-vs-dA	c12s5-tab-orientation-vs-absolute-value	Ordered planar orientation.	supported
c12s7-ex-cc-wedge-vs-dV	c12s5-tab-orientation-vs-absolute-value	Ordered spatial orientation.	supported
c12s7-ex-cc-signed-pullback	c12s5-subsec-determinant-as-coefficient	Alternating bilinear expansion produces xu yv-xv yu, with its sign.	supported
c12s7-ex-cc-one-to-one-interior	c12s3-subsec-one-to-one-splitting	Avoid counting positive-area image points repeatedly under the supplied simple formula.	supported
c12s7-ex-cc-boundary-overlaps	c12s3-subsec-polar-revisited	For the stated piecewise smooth boundaries the repeated sets contribute no area/volume; whole-region overlap would matter.	supported_at_stated_informal_level
c12s7-ex-cc-polar-origin	c12s3-subsec-polar-revisited	r0 is a parameter boundary collapsing to one image point, not repeated interior area.	supported
c12s7-ex-cc-jacobian-zero-patch	c12s3-subsec-one-to-one-splitting,c12s4-subsec-volume-scaling-jacobian	The nonzero-J condition of the taught theorem fails; derivative collapses full-dimensional local measure, illustrated by(u,0) or(u,v,0).	supported
c12s7-ex-cc-crease-split	c12s3-subsec-one-to-one-splitting	No single derivative across crease; restrictions match smooth extensions on either side, allowing piecewise use.	supported
c12s7-ex-cc-multiplicity-two	c12s6-not-one-to-one	Generic disk point has two angular preimages and is counted twice.	supported
c12s7-ex-cc-boundary-suggests-vars	c12s7-subsec-skills-choosing	Choose combinations constant on boundary curves so limits become constants.	supported
c12s7-ex-cc-integrand-vs-element	c12s3-subsec-jacobian-determinant	Composition changes field values; absJ changes weights assigned to parameter cells.	supported
c12s7-ex-cc-local-vs-global	c12s6-not-one-to-one	DT inspects one point; injectivity compares pairs of distinct parameter points across the domain.	supported
c12s7-ex-sk-jacobian-linear	c12s1-def-jacobian-determinant-plane	3*2-(-1)*1=7.	supported
c12s7-ex-sk-area-unit-square	c12s2-thm-area-scaling-linear	abs7 times unit area=7.	supported
c12s7-ex-sk-integral-image-square	c12s2-thm-area-scaling-linear	J=7,x-y=u-3v;7 integral_unit(u-3v)=-7.	supported
c12s7-ex-sk-solve-uv	c12s7-subsec-slanted-window	x=(u+v)/2,y=(u-v)/2,J=-1/2.	supported
c12s7-ex-sk-area-uv-region	c12s7-subsec-slanted-window	Parameter rectangle[0,2]x[1,3] has area4;absJ1/2 gives2.	supported
c12s7-ex-sk-disk-area	c12s3-thm-change-of-variables-plane	2pi integral_0^a r dr=pi a squared for radius a>=0.	supported
c12s7-ex-sk-annulus-integral	c12s3-thm-change-of-variables-plane	2pi integral_1^2 r cubed dr=15pi/2.	supported
c12s7-ex-sk-circular-plate-mass	c12s3-ex-dye-circular-spill	2pi integral_0^3(10-r squared)r dr=99pi/2.	supported
c12s7-ex-sk-hyperbola-region-area	c12s7-subsec-curved-plate	Inverse x=sqrt(u/v),y=sqrt(uv),J=1/(2v);u2..6,v1..4 gives2log4=4log2.	supported
c12s7-ex-sk-hyperbola-region-integral	c12s7-subsec-curved-plate	Integrate u/(2v) over[2,6]x[1,4] gives8log4=16log2.	supported
c12s7-ex-sk-pullback-uvuv	c12s5-def-pullback-area-form	4(u squared+v squared)du wedge dv; vanishes only at origin.	supported
c12s7-ex-sk-double-cover	c12s6-zero-jacobian	Polar form sends(s,alpha) to(s squared,2alpha); opposite domain points coincide except origin.	supported
c12s7-ex-sk-reflection-pullback	c12s6-oriented-integrals-remember-sign	-du wedge dv; reverses orientation.	supported
c12s7-ex-sk-volume-scale-diagonal	c12s4-def-jacobian-determinant-space	abs(2*3*4)=24.	supported
c12s7-ex-sk-ellipsoid-volume	c12s4-thm-change-of-variables-space	24 times unit ball volume4pi/3=32pi.	supported
c12s7-ex-sk-cylinder-volume	c12s4-thm-change-of-variables-space	5*2pi integral_0^3 r dr=45pi.	supported
c12s7-ex-sk-ball-volume	c12s4-subsec-cylindrical-spherical-revisited	Full angles give4pi integral_0^a rho squared d rho=4pi a cubed/3.	supported
c12s7-ex-sk-ball-mass	c12s4-ex-radially-denser-ball	4pi integral_0^2(4-rho)rho squared d rho=80pi/3.	supported
c12s7-ex-sk-jacobian-uvw	c12s4-subsec-volume-scaling-jacobian	Triangular derivative matrix with diagonal1,1,uv has determinant uv.	supported
c12s7-ex-sk-variable-ceiling-volume	c12s4-ex-solid-variable-ceiling	Parameter bounds u1..2,v0..1,w0..1;J=u(1+v), integral9/4.	supported
c12s7-ex-sk-polar-wedge-plane	c12s5-def-pullback-area-form	r dr wedge d theta.	supported
c12s7-ex-sk-cylindrical-wedge	c12s5-subsec-pulling-back-volume-elements	Use taught triple-wedge determinant to get r dr wedge d theta wedge dz.	supported
c12s7-ex-sk-spherical-element	c12s4-subsec-cylindrical-spherical-revisited	rho squared sin phi d rho d phi d theta (unsigned stated range).	supported
